id	date		class	t0	dt
0	07-04-15	banana	13.49	1.64 
1	07-05-15	wine	19.61	0.54 
2	07-06-15	wine	19.99	0.66 
3	07-09-15	banana	6.49	0.72 
4	07-09-15	wine	20.07	0.53 
5	07-10-15	banana	16.38	0.80 
6	07-11-15	wine	11.19	0.95 
7	07-12-15	banana	8.17	0.49 
8	07-12-15	wine	10.41	1.17 
9	07-15-15	banana	9.35	0.61 
10	07-15-15	banana	12.70	1.18 
11	07-17-15	banana	14.85	0.60 
12	07-19-15	wine	11.47	0.38 
13	07-21-15	banana	8.00	0.48 
14	07-21-15	wine	23.62	0.38 
15	07-22-15	banana	16.54	0.72 
16	07-22-15	banana	20.60	1.32 
17	07-23-15	banana	6.54	0.64 
18	07-23-15	banana	20.22	0.44 
19	07-23-15	wine	22.54	0.79 
20	07-24-15	wine	17.40	1.18 
21	07-25-15	banana	7.33	0.97 
22	07-26-15	banana	14.43	0.28 
23	07-27-15	wine	8.37	0.94 
24	07-28-15	wine	20.40	1.60 
25	07-29-15	wine	5.91	1.77 
26	07-29-15	wine	22.68	0.56 
27	07-31-15	banana	6.06	1.09 
28	08-02-15	wine	13.32	0.56 
29	08-03-15	wine	8.15	1.16 
30	08-04-15	banana	7.80	0.48 
31	08-06-15	wine	6.54	0.57 
32	08-09-15	wine	8.72	2.00 
33	08-10-15	banana	7.39	0.12 
34	08-11-15	banana	8.05	0.39 
35	08-13-15	banana	6.33	0.62 
36	08-14-15	wine	8.16	1.14 
37	08-16-15	wine	16.72	2.24 
38	08-18-15	wine	6.97	2.31 
39	08-19-15	banana	7.31	1.69 
40	08-20-15	banana	5.62	0.50 
41	08-20-15	wine	9.80	0.43 
42	08-21-15	wine	9.91	0.57 
43	08-21-15	banana	18.61	0.44 
44	08-22-15	wine	12.08	0.53 
45	08-25-15	wine	6.85	0.76 
46	08-25-15	wine	20.18	0.86 
47	08-26-15	banana	6.92	0.35 
48	08-26-15	banana	17.94	0.28 
49	08-26-15	wine	19.21	0.21 
50	08-27-15	wine	6.23	0.22 
51	08-27-15	banana	19.74	0.36 
52	08-28-15	banana	20.98	0.94 
53	08-29-15	wine	7.22	0.48 
54	08-29-15	wine	16.38	0.80 
55	08-30-15	banana	8.07	0.58 
56	08-30-15	wine	10.18	0.49 
57	08-30-15	banana	12.61	1.68 
58	08-30-15	wine	19.19	0.55 
59	08-30-15	banana	20.74	1.13 
60	08-31-15	banana	6.98	0.48 
61	08-31-15	wine	8.76	1.02 
62	08-31-15	banana	20.73	0.57 
63	09-01-15	banana	7.32	0.33 
64	09-02-15	wine	18.71	0.39 
65	09-03-15	banana	6.91	0.32 
66	09-07-15	wine	9.29	0.62 
67	09-08-15	wine	18.15	0.84 
68	09-09-15	wine	19.04	1.52 
69	08-03-15	background	15.42	0.98
70	08-04-15	background	11.27	0.40
71	08-05-15	background	15.10	0.43
72	08-06-15	background	13.40	0.93
73	08-07-15	background	13.16	0.61
74	08-10-15	background	14.43	0.36
75	08-11-15	background	14.65	0.92
76	08-12-15	background	13.67	0.30
77	08-13-15	background	14.25	0.43
78	08-14-15	background	14.74	0.91
79	08-17-15	background	11.34	0.67
80	08-18-15	background	14.51	0.51
81	08-19-15	background	14.39	0.70
82	08-20-15	background	11.13	0.66
83	08-21-15	background	15.51	0.79
84	08-25-15	background	13.27	0.62
85	08-26-15	background	12.86	0.77
86	08-27-15	background	12.53	0.50
87	08-28-15	background	14.41	0.43
88	09-02-15	background	15.65	0.34
89	09-03-15	background	15.40	0.52
90	09-04-15	background	15.69	0.60
91	09-07-15	background	15.03	0.66
92	09-08-15	background	14.82	0.81
93	09-09-15	background	15.16	0.94
94	09-10-15	background	14.94	0.79
95	09-11-15	background	12.55	0.57
96	09-14-15	background	13.37	0.94
97	09-15-15	background	14.25	0.72
98	09-16-15	background	14.41	0.71
99	09-17-15	background	11.93	0.68
